created_at,entry_id,field1,field2,latitude,longitude,elevation,status
2024-04-10T10:03:52+00:00,114,,0.08,,,,
2024-04-10T10:03:55+00:00,115,0.08,,,,,
2024-04-10T10:03:57+00:00,116,,0.08,,,,
2024-04-10T10:04:00+00:00,117,0.09,,,,,
2024-04-10T10:04:02+00:00,118,,0.09,,,,
2024-04-10T10:04:05+00:00,119,0.08,,,,,
2024-04-10T10:04:07+00:00,120,,0.08,,,,
2024-04-10T10:04:10+00:00,121,0.09,,,,,
2024-04-10T10:04:12+00:00,122,,0.08,,,,
2024-04-10T10:04:15+00:00,123,0.09,,,,,
2024-04-10T10:04:18+00:00,124,,0.1,,,,
2024-04-10T10:04:21+00:00,125,0.09,,,,,
2024-04-10T10:04:23+00:00,126,,0.07,,,,
2024-04-10T10:04:26+00:00,127,0.08,,,,,
2024-04-10T10:04:28+00:00,128,,0.07,,,,
2024-04-10T10:04:31+00:00,129,0.07,,,,,
2024-04-10T10:04:33+00:00,130,,0.08,,,,
2024-04-10T10:04:36+00:00,131,0.08,,,,,
2024-04-10T10:04:38+00:00,132,,0.09,,,,
2024-04-10T10:04:41+00:00,133,0.09,,,,,
2024-04-10T10:04:43+00:00,134,,0.06,,,,
2024-04-10T10:04:46+00:00,135,0.08,,,,,
2024-04-10T10:04:48+00:00,136,,0.1,,,,
2024-04-10T10:04:51+00:00,137,0.08,,,,,
2024-04-10T10:04:53+00:00,138,,0.1,,,,
2024-04-10T10:04:57+00:00,139,0.07,,,,,
2024-04-10T10:04:58+00:00,140,,0.06,,,,
2024-04-10T10:05:02+00:00,141,0.1,,,,,
2024-04-10T10:05:05+00:00,142,,0.08,,,,
2024-04-10T10:05:07+00:00,143,0.09,,,,,
2024-04-10T10:05:09+00:00,144,,0.08,,,,
2024-04-10T10:05:12+00:00,145,0.07,,,,,
2024-04-10T10:05:14+00:00,146,,0.06,,,,
2024-04-10T10:05:17+00:00,147,0.07,,,,,
2024-04-10T10:05:19+00:00,148,,0.06,,,,
2024-04-10T10:05:22+00:00,149,0.07,,,,,
2024-04-10T10:05:24+00:00,150,,0.07,,,,
2024-04-10T10:05:27+00:00,151,0.08,,,,,
2024-04-10T10:05:29+00:00,152,,0.06,,,,
2024-04-10T10:05:33+00:00,153,0.08,,,,,
2024-04-10T10:05:35+00:00,154,,0.08,,,,
2024-04-10T10:05:38+00:00,155,0.07,,,,,
2024-04-10T10:05:40+00:00,156,,0.05,,,,
2024-04-10T10:05:43+00:00,157,0.1,,,,,
2024-04-10T10:05:45+00:00,158,,0.07,,,,
2024-04-10T10:05:48+00:00,159,0.1,,,,,
2024-04-10T10:05:50+00:00,160,,0.07,,,,
2024-04-10T10:05:53+00:00,161,0.08,,,,,
2024-04-10T10:05:55+00:00,162,,0.05,,,,
2024-04-10T10:05:58+00:00,163,0.08,,,,,
2024-04-10T10:06:00+00:00,164,,0.06,,,,
2024-04-10T10:06:03+00:00,165,0.08,,,,,
2024-04-10T10:06:05+00:00,166,,0.07,,,,
2024-04-10T10:06:08+00:00,167,0.1,,,,,
2024-04-10T10:06:11+00:00,168,,0.06,,,,
2024-04-10T10:06:14+00:00,169,0.07,,,,,
2024-04-10T10:06:16+00:00,170,,0.07,,,,
2024-04-10T10:06:19+00:00,171,0.08,,,,,
2024-04-10T10:06:21+00:00,172,,0.07,,,,
2024-04-10T10:06:24+00:00,173,0.06,,,,,
2024-04-10T10:06:26+00:00,174,,0.06,,,,
2024-04-10T10:06:29+00:00,175,0.08,,,,,
2024-04-10T10:06:31+00:00,176,,0.07,,,,
2024-04-10T10:06:35+00:00,177,0.09,,,,,
2024-04-10T10:06:37+00:00,178,,0.08,,,,
2024-04-10T10:06:39+00:00,179,0.1,,,,,
2024-04-10T10:06:41+00:00,180,,0.08,,,,
2024-04-10T10:06:45+00:00,181,0.1,,,,,
2024-04-10T10:06:46+00:00,182,,0.07,,,,
2024-04-10T10:06:49+00:00,183,0.08,,,,,
2024-04-10T10:06:51+00:00,184,,0.06,,,,
2024-04-10T10:06:55+00:00,185,0.09,,,,,
2024-04-10T10:06:57+00:00,186,,0.07,,,,
2024-04-10T10:07:00+00:00,187,0.1,,,,,
2024-04-10T10:07:02+00:00,188,,0.1,,,,
2024-04-10T10:07:05+00:00,189,0.09,,,,,
2024-04-10T10:07:07+00:00,190,,0.1,,,,
2024-04-10T10:07:10+00:00,191,0.1,,,,,
2024-04-10T10:07:12+00:00,192,,0.08,,,,
2024-04-10T10:07:15+00:00,193,0.06,,,,,
2024-04-10T10:07:17+00:00,194,,0.08,,,,
2024-04-10T10:07:20+00:00,195,0.07,,,,,
2024-04-10T10:07:22+00:00,196,,0.07,,,,
2024-04-10T10:07:25+00:00,197,0.06,,,,,
2024-04-10T10:07:27+00:00,198,,0.09,,,,
2024-04-10T10:07:31+00:00,199,0.09,,,,,
2024-04-10T10:07:33+00:00,200,,0.06,,,,
2024-04-10T10:07:36+00:00,201,0.08,,,,,
2024-04-10T10:07:38+00:00,202,,0.07,,,,
2024-04-10T10:07:41+00:00,203,0.08,,,,,
2024-04-10T10:07:43+00:00,204,,0.08,,,,
2024-04-10T10:07:46+00:00,205,0.07,,,,,
2024-04-10T10:07:48+00:00,206,,0.08,,,,
2024-04-10T10:07:51+00:00,207,0.06,,,,,
2024-04-10T10:07:53+00:00,208,,0.07,,,,
2024-04-10T10:07:56+00:00,209,0.08,,,,,
2024-04-10T10:07:58+00:00,210,,0.06,,,,
2024-04-10T10:08:01+00:00,211,0.08,,,,,
2024-04-10T10:08:03+00:00,212,,0.06,,,,
2024-04-10T10:08:07+00:00,213,0.08,,,,,
2024-04-10T10:08:08+00:00,214,,0.08,,,,
2024-04-10T10:08:12+00:00,215,0.09,,,,,
2024-04-10T10:08:14+00:00,216,,0.06,,,,
2024-04-10T10:08:17+00:00,217,0.09,,,,,
2024-04-10T10:08:19+00:00,218,,0.07,,,,
2024-04-10T10:08:22+00:00,219,0.09,,,,,
2024-04-10T10:08:24+00:00,220,,0.06,,,,
2024-04-10T10:08:27+00:00,221,0.1,,,,,
2024-04-10T10:08:29+00:00,222,,0.06,,,,
2024-04-10T10:08:32+00:00,223,0.07,,,,,
2024-04-10T10:08:34+00:00,224,,0.09,,,,
2024-04-10T10:08:37+00:00,225,0.08,,,,,
2024-04-10T10:08:39+00:00,226,,0.06,,,,
2024-04-10T10:08:42+00:00,227,0.07,,,,,
2024-04-10T10:08:44+00:00,228,,0.07,,,,
2024-04-10T10:08:48+00:00,229,0.09,,,,,
2024-04-10T10:08:50+00:00,230,,0.06,,,,
2024-04-10T10:08:53+00:00,231,0.08,,,,,
2024-04-10T10:08:55+00:00,232,,0.07,,,,
2024-04-10T10:08:58+00:00,233,0.09,,,,,
2024-04-10T10:09:00+00:00,234,,0.07,,,,
2024-04-10T10:09:03+00:00,235,0.07,,,,,
2024-04-10T10:09:05+00:00,236,,0.09,,,,
2024-04-10T10:09:08+00:00,237,0.08,,,,,
2024-04-10T10:09:10+00:00,238,,0.06,,,,
2024-04-10T10:09:13+00:00,239,0.08,,,,,
2024-04-10T10:09:15+00:00,240,,0.07,,,,
2024-04-10T10:09:18+00:00,241,0.07,,,,,
2024-04-10T10:09:20+00:00,242,,0.08,,,,
2024-04-10T10:09:23+00:00,243,0.07,,,,,
2024-04-10T10:09:25+00:00,244,,0.07,,,,
2024-04-10T10:09:29+00:00,245,0.08,,,,,
2024-04-10T10:09:31+00:00,246,,0.07,,,,
2024-04-10T10:09:34+00:00,247,0.07,,,,,
2024-04-10T10:09:36+00:00,248,,0.06,,,,
2024-04-10T10:09:39+00:00,249,0.07,,,,,
2024-04-10T10:09:41+00:00,250,,0.07,,,,
2024-04-10T10:09:44+00:00,251,0.1,,,,,
2024-04-10T10:09:46+00:00,252,,0.08,,,,
2024-04-10T10:09:49+00:00,253,0.08,,,,,
2024-04-10T10:09:51+00:00,254,,0.06,,,,
2024-04-10T10:09:54+00:00,255,0.07,,,,,
2024-04-10T10:09:56+00:00,256,,0.06,,,,
2024-04-10T10:10:02+00:00,257,0.09,,,,,
2024-04-10T10:10:03+00:00,258,,0.06,,,,
2024-04-10T10:10:05+00:00,259,0.09,,,,,
2024-04-10T10:10:07+00:00,260,,0.1,,,,
2024-04-10T10:10:10+00:00,261,0.08,,,,,
2024-04-10T10:10:12+00:00,262,,0.07,,,,
2024-04-10T10:10:15+00:00,263,0.1,,,,,
2024-04-10T10:10:17+00:00,264,,0.07,,,,
2024-04-10T10:10:22+00:00,265,0.08,,,,,
2024-04-10T10:10:23+00:00,266,,0.08,,,,
2024-04-10T10:10:25+00:00,267,0.07,,,,,
2024-04-10T10:10:27+00:00,268,,0.09,,,,
2024-04-10T10:10:30+00:00,269,0.08,,,,,
2024-04-10T10:10:32+00:00,270,,0.07,,,,
2024-04-10T10:10:35+00:00,271,0.07,,,,,
2024-04-10T10:10:38+00:00,272,,0.07,,,,
2024-04-10T10:10:40+00:00,273,0.07,,,,,
2024-04-10T10:10:42+00:00,274,,0.08,,,,
2024-04-10T10:10:46+00:00,275,0.08,,,,,
2024-04-10T10:10:48+00:00,276,,0.07,,,,
2024-04-10T10:10:51+00:00,277,0.06,,,,,
2024-04-10T10:10:53+00:00,278,,0.07,,,,
2024-04-10T10:10:56+00:00,279,0.09,,,,,
2024-04-10T10:10:59+00:00,280,,0.07,,,,
2024-04-10T10:11:01+00:00,281,0.07,,,,,
2024-04-10T10:11:03+00:00,282,,0.06,,,,
2024-04-10T10:11:06+00:00,283,0.07,,,,,
2024-04-10T10:11:08+00:00,284,,0.08,,,,
2024-04-10T10:11:11+00:00,285,0.09,,,,,
2024-04-10T10:11:13+00:00,286,,0.08,,,,
2024-04-10T10:11:16+00:00,287,0.07,,,,,
2024-04-10T10:11:18+00:00,288,,0.07,,,,
2024-04-10T10:11:22+00:00,289,0.08,,,,,
2024-04-10T10:11:24+00:00,290,,0.09,,,,
2024-04-10T10:11:27+00:00,291,0.08,,,,,
2024-04-10T10:11:29+00:00,292,,0.07,,,,
2024-04-10T10:11:32+00:00,293,0.07,,,,,
2024-04-10T10:11:34+00:00,294,,0.09,,,,
2024-04-10T10:11:37+00:00,295,0.07,,,,,
2024-04-10T10:11:39+00:00,296,,0.09,,,,
2024-04-10T10:11:44+00:00,297,0.08,,,,,
2024-04-10T10:11:47+00:00,298,0.07,,,,,
2024-04-10T10:11:49+00:00,299,,0.08,,,,
2024-04-10T10:11:52+00:00,300,0.08,,,,,
2024-04-10T10:11:54+00:00,301,,0.07,,,,
2024-04-10T10:11:57+00:00,302,0.07,,,,,
2024-04-10T10:12:00+00:00,303,,0.07,,,,
2024-04-10T10:12:03+00:00,304,0.08,,,,,
2024-04-10T10:12:05+00:00,305,,0.07,,,,
2024-04-10T10:12:08+00:00,306,0.08,,,,,
2024-04-10T10:12:10+00:00,307,,0.06,,,,
2024-04-10T10:12:13+00:00,308,0.07,,,,,
2024-04-10T10:12:15+00:00,309,,0.06,,,,
2024-04-10T10:12:18+00:00,310,0.08,,,,,
2024-04-10T10:12:20+00:00,311,,0.06,,,,
2024-04-10T10:12:23+00:00,312,0.08,,,,,
